No.,Business_Name,Pre_Crash_Mode,AV,OtherVeh,Weather,Lighting,Collision_Type,Damage_Detail
233,Cruise,Conventional,Proceeding Straight,Passing Other Vehicle,Clear,Dusk-Dawn,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling southbound on Stanyan Street at the intersection with Beulah Street when a lane-encroaching municipal city bus in the right adjacent lane attempted to pass the Cruise AV. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, the city bus made contact with the right side of the Cruise AV, damaging the Cruise AV?s right articulating radar casing. There were no injuries. Police were called but not dispatched to the scene."
234,Cruise,Conventional,Parked,Parking Manuever,Clear,Daylight,Head-On,"A Cruise autonomous vehicle (?Cruise AV?) being driven in conventional mode was involved in a collision on eastbound Clement Street between 24th and 25th Avenues. While the Cruise AV was parked parallel to the curb on the street, another vehicle reversing out of its parallel parking spot made contact with the front bumper of the Cruise AV, damaging the Cruise AV?s front center radar bracket assembly. There were no injuries and police were not called."
235,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode in the slip lane from westbound Nita Avenue to northbound San Antonio Road in Palo Alto when it was rear-ended. The Waymo AV was yielding to approaching traffic when a commercial box truck made contact with the Waymo AV?s rear bumper at approximately 3 MPH. The Waymo AV sustained minor damage to its rear bumper, and the commercial box truck left without exchanging information. Waymo contacted the Palo Alto Police Department and a police report was filed. No injuries were reported at the scene."
236,Zoox,Conventional,Stopped,Backing,Clear,Daylight,Backing,"A Zoox vehicle was parked with hazard lights blinking while in manual mode on Green St. facing east towards Varennes St. A car reversed from a horizontal parking spot of the oncoming lane and made contact with the rear left corner of the Zoox Vehicle, damaging the sensors. Police were not called."
237,Cruise,Conventional,Making Left Turn,Unknown,Clear,Daylight,Hit Object,"A Cruise autonomous vehicle (?Cruise AV?) being driven in conventional mode was involved in a single-car collision on northbound Clipper Street near the intersection with westbound Portola Drive. While the driver of the Cruise AV began to turn left onto Portola, the driver made contact with the traffic island, damaging the Cruise AV?s front left wheel assembly. There were no injuries and police were not called."
238,Zoox,Conventional,Stopped,Proceeding Straight,Clear,Dark-Street Lights,Rear End,"A Zoox vehicle was in manual mode, stopped at a red light at the intersection of Mason St. and Sutter St. facing south. A vehicle behind it made low-speed contact with the rear of the Zoox vehicle. There was no damage. Police were not called."
239,Zoox,Conventional,Proceeding Straight,Changing Lanes,Cloudy,Daylight,Rear End,"A Zoox vehicle in manual mode was in traffic on 5th St, south of Folsom St., when the car immediately behind it passed on the left. That car made contact with the left-rear bumper of the Zoox vehicle, causing a minor scratch. The driver of the Zoox vehicle then pulled over to assess damage and exchange driver information, but the other vehicle did not stop. There were no injuries, and police were not called."
240,Aurora,Conventional,Stopped,Passing Other Vehicle,Clear,Daylight,Head-On,"On 01/14/2020 at 11:13 AM, the Aurora vehicle -- while at a complete stop at a red light at the intersection of Lafayette  St and Benton St. in Santa Clara -- was rear-ended on the driver's side rear fender by a Jeep Wrangler, when it attempted to navigate around the stopped Aurora vehicle. There were no injuries to the occupants of either vehicle, nor damage to either vehicle."
241,Zoox,Autonomous,Passing Other Vehicle,Stopped,Clear,Daylight,Side Swipe,"A Zoox vehicle traveling in autonomous mode on Broadway St. towards Powell St. encountered a double-parked flatbed truck. The Zoox vehicle began to maneuver around the stationary truck and made slight contact with the left rear of the truck, causing a scrape on the passenger-side door of the Zoox vehicle; there was no damage to the truck. There were no injuries and police were not called."
242,Zoox,Conventional,Proceeding Straight,Changing Lanes,Clear,Daylight,Rear End,"A Zoox vehicle was traveling in manual mode on 3rd St. towards Mission St. when a car merged into the lane behind it. While the Zoox vehicle yielded to a bus, the car behind the Zoox vehicle made contact with the Zoox vehicle's rear bumper, damaging some sensors. The Zoox vehicle driver pulled over to assess the damage and exchange driver information but the other vehicle did not stop. There were no injuries and police were not called. "
243,Cruise,Conventional,Backing,Parked,Clear,Daylight,Other,"A Cruise autonomous vehicle (?Cruise AV?) being driven in conventional mode was involved in a collision on westbound 24th Street between Douglass Street and Hoffman Avenue. While the driver of the Cruise AV attempted to reverse into a parallel parking spot, the driver made contact with another parked vehicle?s front bumper, damaging the other vehicle?s front center bumper. There were no injuries and police were not called."
244,Google,Conventional,Making Right Turn,Unknown,Cloudy,Daylight,Side Swipe,A Waymo Autonomous Vehicle (?Waymo AV?) was being driven in manual mode and attempting to exit Santiago Villa Mobile Home Park in Mountain View by turning right from southbound Oro Way to westbound Space Park Way when it made contact with a stationary object. The Waymo AV?s test driver was making a sharp right turn and the Waymo AV?s rear passenger side door and wheel well scraped a wall at approximately 1 MPH. The Waymo AV sustained minor damage. No injuries were reported at the scene.
245,Cruise,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling northwest bound on Columbus Street approaching the intersection with Jones Street when the Cruise AV slowed down. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle, changing into the Cruise AV?s lane from the left adjacent lane, made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and shoulder pain."
246,Cruise,Autonomous,Making Left Turn,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was making a left turn onto eastbound Duboce Avenue from southbound Castro Street when the Cruise AV yielded to an oncoming car. The driver of the Cruise AV disengaged from autonomous mode and, shortly thereafter, another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. Both of the Cruise AV test operators later mentioned neck and back pain."
247,Cruise,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (""Cruise AV"") being driven in conventional mode was involved in a collision on eastbound Bush Street near the intersection with Jones Street. While the driver of the Cruise AV was stopped in traffic, another vehicle made contact with the rear bumper of the Cruise AV. There were no injuries reported at the scene by either party and police were not called. The Cruise AV test operator sitting in the front passenger seat later mentioned neck and back pain."
248,Cruise,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Dark-Street Lights,Rear End,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling southeast bound on Sickles Avenue toward the intersection with Mission Street in the left turn lane; when the Cruise AV yielded to another vehicle that encroached into the Cruise AV?s lane from the right adjacent lane. Shortly thereafter, a second vehicle made contact with the rear bumper of the Cruise AV, damaging the Cruise AV?s rear impact bar and a radar mounting bracket and the other vehicle?s front bumper. There were no injuries and police were not called."
249,Google,Conventional,Proceeding Straight,Parked,Clear,Daylight,Side Swipe,A Waymo Autonomous Vehicle (?Waymo AV?) was being driven in manual mode on northbound Midvale Avenue approaching La Grange Avenue in Los Angeles when the Waymo AV?s right side mirror made contact with the left side mirror of a parked vehicle. The Waymo AV?s test driver was attempting to move to the right to give space to an oncoming vehicle when it made contact with the parked vehicle?s left side mirror while traveling at approximately 16 MPH. The side mirror on the Waymo AV and side mirror on the parked vehicle both sustained minor damage. No injuries were reported at the scene.
250,Google,Autonomous,Stopped,Proceeding Straight,Clear,Dusk-Dawn,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode turning right from eastbound Park Drive onto southbound Miramonte Avenue in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 6 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported at the scene.
"
251,Zoox,Conventional,Making Left Turn,Backing,Clear,Daylight,Head-On,"A Zoox vehicle was in manual mode, turning left onto Mason Street from California Street, facing south. A car reversed from a horizontal parking spot on the left and made contact with the Zoox vehicle's front left wheel, causing minor damage. There were no injuries and police were not called."
252,Zoox,Autonomous,Stopped,Entering Traffic,Clear,Dark-Street Lights,Side Swipe,"A Zoox vehicle was stationary in autonomous mode on Montgomery St facing north towards Broadway St, yielding for an oncoming bus encroaching upon its lane. The bus struck the driver's side mirror, causing it to fold with minor damage. The bus driver did not stop, so no information was exchanged. There were no injuries and police were not called."
253,Zoox,Autonomous,Changing Lanes,Entering Traffic,Clear,Daylight,Broadside,"A Zoox vehicle was in autonomous mode while making a right lane change on Montgomery St facing north towards Clay St. A car entered traffic from a stop sign intersection on right without stopping and struck the Zoox vehicle's rear passenger side door, causing moderate damage. There were no injuries and police were not called."
254,Google,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was traveling in autonomous mode, entering the slip lane onto northbound Central Expressway from the northbound S. Shoreline Boulevard ramp in Mountain View, when it began braking to yield to approaching traffic on Central Expressway. As the Waymo AV slowed down, the Waymo AV test driver disengaged and brought the Waymo AV to a stop. Moments later a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 15 MPH. The Waymo AV sustained moderate damage to its rear bumper, and the other vehicle had moderate damage to its front bumper. No injuries were reported."
255,Google,Autonomous,Proceeding Straight,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was in autonomous mode in the slip lane from southbound Whisman Station Drive to northbound Central Expressway in Mountain View when it was rear-ended. The Waymo AV was yielding to approaching traffic on Central Expressway when a passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 4 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
256,Pony.AI,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"The Pony.ai autonomous vehicle (""Pony.ai AV"") stopped at a red light on the corner of Harvard Ave and Barranca Parkway, preparing to
make a right turn on red. The Pony.ai AV crept into the intersection before stopping to yield to oncoming traffic. While stopped, the Pony.ai
AV was rear-ended by the vehicle behind it (""Vehicle 2""). The contact between the vehicles caused a moderate dent to the back of the
Pony.ai AV and minor damage to Vehicle 2. Both drivers pulled over to the side of the roadway and exchanged information. There were no
injuries reported and the police were not called. "
257,Cruise,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was coming to a complete stop in response to stopped traffic
on southwest bound Mission Street near the intersection with 10th Street when another vehicle approaching from the rear made contact with
the Cruise AV?s rear bumper, damaging the rear right fascia light bracket. The driver of the other vehicle left the scene without exchanging
information. Both of the Cruise AV test operators mentioned back pain at the scene but police were not called."
258,Google,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped in autonomous mode on northbound Alma Street at Alma Village Circle in
Palo Alto when it was rear-ended. The Waymo AV was stopped in traffic for a red light when a passenger vehicle made contact with the
Waymo AV?s rear bumper at approximately 2 MPH. The Waymo AV sustained minor damage to its rear bumper and hatch, and the
passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
259,Google,Conventional,Making Right Turn,Unknown,Clear,Daylight,Hit Object,"A Waymo Autonomous Vehicle (?Waymo AV?) was making a turn in manual mode from westbound Palo Alto Avenue onto northbound
Glenbrook Avenue in San Francisco when it made contact with a curb. The Waymo AV test driver was making a right turn when the right
rear tire of the Waymo AV made contact with a curb at approximately 10 MPH. The Waymo AV?s right rear tire deflated following the curb
contact. No injuries were reported."
260,Zoox,Autonomous,Making Left Turn,Stopped,Clear,Daylight,Side Swipe,"A Zoox vehicle in autonomous mode was making a left turn from Davis Street onto Vallejo Street and encountered a semi-truck flatbed
parked in the intersection. The Zoox vehicle made contact with the rear right side of the truck at a very low speed. There was minor damage
to the Zoox vehicle and no damage to the truck. There were no injuries and police were not called. "
261,Cruise,Conventional,Parking Manuever,Unknown,Clear,Daylight,Hit Object,"A Cruise autonomous vehicle (?Cruise AV?) being driven in conventional mode was involved in a single-car collision on westbound
Taraval Street near the intersection with 21st Avenue. After completing a right turn onto Taraval from 21st, the driver of the Cruise AV
turned into a parallel parking space and made contact with the curb, damaging the Cruise AV?s front right tire. There were no injuries and
police were not called"
262,Zoox,Conventional,Proceeding Straight,Proceeding Straight,Clear,Daylight,Side Swipe,"A Zoox vehicle was in manual mode traveling straight on Polk Street approaching the Green/Polk Street 4-way intersection at low speed. A
passenger vehicle was traveling straight on Green Street also approaching the Green/Polk intersection. Both vehicles came to their
respective stops at the intersection, then both vehicles resumed movement through the intersection at the same time and came in contact
with one another at low speed. The front right side of the Zoox vehicle made contact with the front left bumper of the passenger vehicle.
There were no injuries and the police were not called"
263,Cruise,Conventional,Parked,Parking Manuever,Clear,Daylight,Other,"A Cruise autonomous vehicle (?Cruise AV?) parked in conventional mode was involved in a collision on southwest bound San Jose Avenue
between Farallones and Broad Streets. While the Cruise AV was parked parallel to the curb on the street, another vehicle in front of the
Cruise AV made contact with the front bumper of the Cruise AV while reversing out of its parking spot, damaging the Cruise AV?s front
right fascia. There were no injuries and police were not called."
264,Cruise,Autonomous,Stopped,Changing Lanes,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (?Cruise AV), operating in autonomous mode, was yielding to oncoming traffic prior to making a left turn
onto eastbound 17th Street from southbound Potrero Avenue when another vehicle made contact with the rear bumper of the Cruise AV,
damaging the Cruise AV's right rear bumper bar and fascia. The Cruise AV test operator in the driver's seat reported back pain at the scene
but did not request emergency assistance. The Cruise AV test operator sitting in the front passenger seat did not report any injuries at the
scene, but later reported neck pain. Police were not called."
265,Cruise,Autonomous,Proceeding Straight,Changing Lanes,Clear,Dark-Street Lights,Side Swipe,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling westbound on Turk Street through the
intersection with Steiner Street when another vehicle encroached into the Cruise AV's lane from the right adjacent lane and made contact
with the right side of the Cruise AV, damaging the Cruise AV's right front fender, right front door, and right rear door and the other
vehicle's front left bumper and fender. There were no injuries and police were not called."
266,Zoox,Conventional,Parked,Parking Manuever,Clear,Daylight,Other,"A Zoox vehicle was parked in a parallel parking space on Howard Street, when a passenger vehicle attempted to parallel park behind it. The
front bumper of the passenger vehicle made contact with the rear hardware at the center of the Zoox bumper causing no damage to the Zoox
vehicle. There were no injuries and the police were not called"
267,Google,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was stopped at a stop sign intersection in manual mode at westbound Clement Street at
12th Avenue in San Francisco when it was rear-ended. The Waymo AV test driver was yielding to a pedestrian in the crosswalk when a
passenger vehicle made contact with the Waymo AV?s rear bumper at approximately 6 MPH. The Waymo AV sustained minor damage to
its rear bumper and hatch, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
268,Zoox,Autonomous,Proceeding Straight,Making Left Turn,Clear,Daylight,Broadside,"A Zoox vehicle in autonomous mode was traveling on Folsom Street straight through the 5th Street intersection when a passenger vehicle in
the right adjacent lane attempted to make a left turn in front of the Zoox vehicle onto 5th Street. The rear left bumper of the turning
passenger vehicle made contact with the front right side of the Zoox vehicle. There were no injuries, and the police were not called."
269,Cruise,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling northwest bound on 9th Street near the
intersection with Folsom Street in the right lane when it stopped due to traffic ahead in the intersection. Shortly thereafter, another vehicle
made contact with the Cruise AV, damaging the Cruise AV's left rear bumper, wheel well, and tail lamp and the other vehicle's front right
bumper, headlight, and fender. The Cruise AV test operator sitting in the front passenger seat reported back pain at the scene, but did not
request emergency assistance. Police were not called"
270,Zoox,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Rear End,"A Zoox vehicle in autonomous mode was stopped in traffic at the intersection of Harrison St. and 13 St. when a passenger vehicle from
behind hit the Zoox vehicle?s rear bumper and sensors at a low speed. There were no injuries and police were not called."
271,Cruise,Autonomous,Making Right Turn,Parked,Clear,Daylight,Side Swipe,"A Cruise autonomous vehicle (?Cruise AV?), operating in conventional mode, was involved in an incident. The Cruise AV was exiting a
parking lot and turning right onto southbound Mission Street between France Ave and Italy Ave when it made contact with the left rear
bumper of a parked vehicle. This caused damage to the passenger rear quarter panel and passenger rear door of the Cruise AV. There was
no damage to the parked vehicle. There were no injuries and the police were not called."
272,Cruise,Autonomous,Stopped,Proceeding Straight,Clear,Dark-Street Lights,Head-On,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode, was traveling westbound on 17th Street at the intersection
with Potrero St., when the Cruise AV was struck by a 2007 Subaru Outback that crossed the centerline while driving eastbound on 17th
Street. Immediately before the incident, the driver of the Cruise AV, seeing the oncoming vehicle crossing the centerline, disengaged from
autonomous mode and brought the Cruise AV to a stop. The oncoming car made contact with the front driver side quarter panel of the
Cruise AV, causing damage. There were no injuries, but the police were called. The driver of the 2007 Subaru Outback left the scene before
the police arrived."
273,Cruise,Autonomous,Proceeding Straight,Parked,Clear,Daylight,Other,"A Cruise autonomous vehicle (?Cruise AV?), operating in autonomous mode was traveling westbound on Balboa Street between 12th and Funston Avenues when the Cruise AV was struck by the door of a 2014 Honda Civic that was parked on Balboa facing west. Contact was made at the front passenger side of the Cruise AV. There were no injuries and police were not called. "
274,Lyft,Conventional,Stopped,Passing Other Vehicle,Clear,Daylight,Side Swipe,"On December 2nd, 2020 at approximately 3:00pm, a Lyft Autonomous Vehicle (Lyft AV A102) operating in manual mode was stationary at a stoplight when it was grazed by a moving third party vehicle. The incident occured on the Embarcadero near the Ferry Building heading nothbound in San Francisco. The third party vehicle aggresively came around from behind of Lyft AV A102 and attempted to cut in front of AV A102. The third party made contact with the Lyft AV leaving visible minor damage to the exterior casing of the Lyft AV's front left lidar unit. The third party sustained no visible damage. The third party called 911, but law enforcement declined reporting to the scene since there were no injuries reported"
275,Google,Conventional,Changing Lanes,Unknown,Clear,Dark-Street Lights,Hit Object,"A Waymo Autonomous Vehicle (?Waymo AV?) was traveling northbound on Sanchez Street in San Francisco in autonomous mode when it entered the oncoming lane in order to proceed around a garbage truck and dumpster. As the Waymo AV maneuvered around the garbage
truck and dumpster, the Waymo AV test driver disengaged autonomous mode and took control of the Waymo AV. As the test driver was attempting to re-enter the northbound lane in manual mode, the Waymo AV?s front driver?s side tire drove over the curb of a traffic island
median and the Waymo AV sustained minor damage to its front bumper. No injuries were reported."
276,Pony.AI,Autonomous,Stopped,Proceeding Straight,Clear,Daylight,Head-On,"The Pony.ai autonomous vehicle (""Pony.ai AV"") stopped at a red light on the corner of Jamboree Rd and MacArthur Blvd, preparing to make a right tum on red. The Pony.ai AV crept into the intersection before stopping to yield to oncoming traffic. While stopped, the Pony.ai
AV was rear-ended by the vehicle behind it (""Vehicle 2""). The contact between the vehicles caused a moderate dent to the back of the Pony.ai AV and minor damage to Vehicle 2. Both drivers pulled over to the side of the roadway and exchanged information. There were no
injuries reported and the police were not called. The driver of Vehicle 2 admitted complete fault and responsibility."
277,Google,Autonomous,Slowing/Stopping,Proceeding Straight,Clear,Dark-Street Lights,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was traveling northbound on 3rd Street in San Francisco in manual mode when it was rear-ended. The Waymo AV was traveling in autonomous mode at approximately 30 MPH in the leftmost lane as it approached the intersection at 24th Street. In this location there are traffic pylons on the left edge of the leftmost lane that separate this lane from the municipal tram line that operates in the median of 3rd Street. As the Waymo AV approached the intersection, a San Francisco MUNI city
bus traveling at approximately 40 MPH in the right adjacent lane began to overtake the Waymo AV from the right, while moving toward the Waymo?s lane of travel. Due to the encroaching city bus and the pylons on the left edge of the Waymo AV?s lane, the Waymo AV began to
brake. The Waymo AV test driver disengaged autonomous mode and took control of the Waymo AV. Approximately 1 second later, the passenger vehicle behind the Waymo AV made contact with the Waymo AV?s rear bumper at approximately 27 MPH. The Waymo AV was traveling approximately 4 MPH. The Waymo AV sustained significant damage to its rear bumper, and the passenger vehicle sustained
significant damage to its front bumper. The driver of the passenger vehicle and the Waymo AV test driver were transported to receive
medical attention. The Waymo AV co-driver reported minor injuries but did not receive medical attention. Amended Sections 3 and 4"
278,Google,Autonomous,Slowing/Stopping,Making Left Turn,Clear,Daylight,Broadside,"A Waymo Autonomous Vehicle (?Waymo AV?) was traveling northbound on Bartlett Street and turning left onto westbound 26th Street in San Francisco when it was involved in a collision. The Waymo AV had come to a complete stop at the 4-way stop sign intersection at Bartlett Street and 26th Street before proceeding to make a left turn in autonomous mode. As the Waymo AV was completing the left turn, a passenger vehicle traveling eastbound on 26th Street and turning left onto northbound Bartlett Street proceeded into the intersection without fully stopping at the stop sign. The Waymo AV began to brake for the passenger vehicle and the Waymo AV test driver disengaged
autonomous mode and manually stopped the Waymo AV just prior to the passenger vehicle making contact with the driver?s side of the Waymo AV. The passenger vehicle was traveling approximately 5 MPH at the time of contact, and the Waymo AV was traveling approximately 0 MPH. The Waymo AV sustained minor damage to its driver?s side front wheel well and driver door, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
279,Google,Autonomous,Proceeding Straight,Unknown,Clear,Dark-Street Lights,Other,"A Cruise autonomous vehicle (""Cruise AV""), operating in manual mode, was traveling northbound on Grant Avenue between Sutter Street and Post Street. A skateboard that escaped control of a nearby pedestrian made contact to the Cruise AV at the front passenger side tire. The skateboard caused minimal damage to the front right wheel of the Cruise AV. There were no injuries and the police were not called."
280,Cruise,Autonomous,Proceeding Straight,Entering Traffic,Clear,Daylight,Head-On,"A Cruise autonomous vehicle (""Cruise AV""), operating in autonomous mode, was traveling Southwest on Minna Street between 5th Street and Mary Street. A white Mazda pulled out from a construction area without yielding, onto Minna Street. Seeing that the Mazda was not
going to yield to oncoming traffic, the AVTO disengaged from autonomous mode and unsuccessfully attempted to avoid collision. The Mazda made contact with the Cruise AV causing damage to the front driver side bumper and fender of the Cruise AV. There were no
injuries and the police were not called. "
281,Google,Conventional,Stopped,Proceeding Straight,Cloudy,Daylight,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was traveling eastbound on Precita Avenue and yielding to traffic while preparing to merge onto Cesar Chavez in San Francisco when it was involved in a collision. While in autonomous mode, the Waymo AV had come to a complete stop at the stop sign at Precita Avenue at Cesar Chavez. As the Waymo AV proceeded slowly in preparation to merge, the Waymo AV test driver disengaged autonomous mode and manually stopped the Waymo AV. A passenger vehicle behind the Waymo AV then made
contact with the stationary Waymo AV?s rear bumper at approximately 7 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
282,Cruise,Conventional,Proceeding Straight,Unknown,Clear,Daylight,Broadside,"A Cruise autonomous vehicle (?Cruise AV?), was in autonomous mode and traveling northbound on De Haro Street between 23rd and 22nd
streets. The AV braked in response to a pedestrian in the middle of the intersection on De Haro, running directly towards the AV. The
AVTO, concerned for their safety, disengaged from autonomous mode to attempt to move the AV around the pedestrian who was still
rapidly heading directly towards the AV in the center of the street. The Cruise AV was then struck by a skateboarder that suddenly entered
the crosswalk from the southeast sidewalk, coming downhill from 22nd street. Contact was made by the skateboarder to the Cruise AV.
This caused damage to the front quarter panel area and the articulating radar of the Cruise AV. Because the skateboarder appeared injured, 911 was immediately called. The skateboarder left the scene shortly after the incident and before the police arrived. The Cruise AVTOs remained on the scene and gave a statement to the police."
283,Zoox,Conventional,Stopped,Parking Manuever,Cloudy,Daylight,Rear End,"A Zoox vehicle was stopped in manual mode on Green St. waiting to pass a double-parked vehicle in front, when a passenger vehicle executing a three-point turn made contact with a sensor on the rear of the Zoox vehicle. There were no injuries and police were not called."
284,Pony.AI,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Head-On,"The Pony.ai autonomous vehicle (""Pony.ai AV"") was stopped for approximately 3 minutes at the red light in the far right lane on Milmont
Dr. preparing to turn right onto Dixon Landing Rd. In front of the Pony.ai AV are several other vehicles also preparing to turn right. While
stopped, Vehicle 2 came up quickly immediately behind the Pony.ai AV then proceeded to stop abruptly. Vehicle 2 then proceeds to creep
up towards the Pony.ai with the driver of Vehicle 2 appearing to look down. Vehicle 2 then lurches forward quickly towards the Pony.ai
AV. The Pony.ai AV operator proceeded to disengage from autonomous mode to attempt to avoid an accident, however, as the Pony.ai AV
vehicle operator attempted to step on the throttle, the Pony.ai AV is rear-ended by Vehicle 2. The Pony.ai AV was stopped at 0 mph, while the approximate speed of Vehicle 2 at the point of collision was 5 mph. The Pony.ai AV operator noted that prior to the collision, the driver of Vehicle 2 appeared to drive erratically across other intersections as well. The contact between the vehicles caused a moderate damage to the back of the Pony.ai AV and moderate damage to Vehicle 2. Both drivers pulled over to the side of the roadway and exchanged information. There were no injuries reported and the police were not called. Pursuant to protocol, Pony.ai ran simulations after the accident to determine if the ADV would have reacted differently. The results indicate the Pony.ai ADV would not have reacted differently"
285,Google,Autonomous,Stopped,Proceeding Straight,Clear,Dusk-Dawn,Rear End,"A Waymo Autonomous Vehicle (?Waymo AV?) was traveling westbound on 16th Street at Market Street in San Francisco when it was
involved in a collision. While in autonomous mode, the Waymo AV was stopped at a red traffic light at the unprotected intersection of 16th
Street and Market Street. After the traffic light turned green, the Waymo AV began to proceed and then came to a stop as it yielded to
oncoming traffic also entering the intersection. A passenger vehicle behind the Waymo AV then made contact with the stationary Waymo
AV?s rear bumper at approximately 5 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle sustained minor damage to its front bumper. No injuries were reported."
286,Google,Conventional,Stopped,Proceeding Straight,Clear,Daylight,Side Swipe,"A Waymo Autonomous Vehicle (?Waymo AV?) was traveling northbound on Shrader Street at Haight Street in San Francisco when it was
involved in a collision. While in manual mode, the Waymo AV test driver stopped the Waymo AV at a 4-way stop sign intersection on
Shrader Street at Haight Street, signaling to make a left turn. The Waymo AV test driver yielded to a passenger vehicle to their right (facing
westbound on Haight Street), allowing the passenger vehicle to enter the intersection before the Waymo AV test driver began to slowly
enter the intersection. When the passenger vehicle began to make a left turn in front of the Waymo AV from westbound Haight Street onto
southbound Shrader Street, the Waymo AV test driver stopped the Waymo AV. A passenger vehicle behind the Waymo AV then made
contact with the stationary Waymo AV?s rear bumper at approximately 7 MPH. The Waymo AV sustained minor damage to its rear bumper, and the passenger vehicle left the scene without exchanging information. No injuries were reported"
287,Cruise,Autonomous,Making Left Turn,Proceeding Straight,Clear,Dark-Street Lights,Head-On,"A Cruise autonomous vehicle (?Cruise AV?), was in autonomous mode and traveling westbound on McAllister Street near Baker Street. The AV came to a complete stop at the stop sign at McAllister and Baker. With no other vehicles present at the intersection and having the right of way after the stop, the AV started to proceed left onto Baker Street from McAllister. As the AV was making the left turn, a Subaru traveling northbound on Baker Street quickly approached the intersection, failed to stop for the stop sign and struck the front left side of the Cruise AV. The AVTO disengaged from autonomous mode approximately 1.5 seconds before impact. The AVTOs sustained minor injuries and the AV sustained damage to the driver's side bumper and wheel assembly. The police were called but did not respond to the scene."
288,Google,Conventional,Backing,Unknown,Clear,Daylight,Hit Object,A Waymo Autonomous Vehicle (?Waymo AV?) test driver was parallel parking a Waymo AV in manual mode on 24th Street when a roof-mounted sensor on the Waymo AV made contact with a low-hanging tree branch. The Waymo AV?s sensor sustained minor damage. No injuries were reported.
289,Google,Conventional,Proceeding Straight,Parked,Clear,Dark-Street Lights,Side Swipe,"A Waymo Autonomous Vehicle (?Waymo AV?) traveling northbound on Spruce Street approaching Euclid Avenue in San Francisco was involved in a collision. The Waymo AV had been traveling in autonomous mode on Spruce Street when the Waymo AV test driver disengaged autonomous mode. Approximately 6 seconds after the disengagement, the Waymo AV?s passenger side rearview mirror made contact with an unattended parked passenger vehicle?s driver side rearview mirror at approximately 15 MPH. The Waymo AV sustained minor damage to its passenger side rearview mirror, and the passenger vehicle sustained minor damage to its driver side rearview mirror. No injuries were reported. The Waymo AV test driver left insurance information with the parked vehicle."
